Scene, Question, Right, Wrong
Hazard Scene, Q1,   ,  X 
Hazard Scene, Q1,  X ,   
Hazard Scene, Q2,   ,  X 
Hazard Scene, Q2,  X ,   
Hazard Scene, Q3,  X ,   
Hazard Scene, Q4,   ,  X 
Hazard Scene, Q4,  X ,   
